2017-03-24-6-07-33p.m.,1490350053520,1003.198,84.02431,3
2017-03-24-6-07-34p.m.,1490350054600,1003.2002,84.00845,3
2017-03-24-6-07-35p.m.,1490350055681,1003.2283,83.77065,3
2017-03-24-6-07-36p.m.,1490350056760,1003.2361,83.70724,3
2017-03-24-6-07-37p.m.,1490350057841,1003.2346,83.717804,3
2017-03-24-6-07-38p.m.,1490350058921,1003.20044,84.00581,3
2017-03-24-6-07-40p.m.,1490350060001,1003.18164,84.161705,3
2017-03-24-6-07-41p.m.,1490350061081,1003.1636,84.31496,3
2017-03-24-6-07-42p.m.,1490350062161,1003.1848,84.135284,3
2017-03-24-6-07-43p.m.,1490350063241,1003.20483,83.96882,3
2017-03-24-6-07-44p.m.,1490350064321,1003.2207,83.83407,3
2017-03-24-6-07-45p.m.,1490350065401,1003.229,83.765366,3
2017-03-24-6-07-46p.m.,1490350066481,1003.16284,84.320244,3
2017-03-24-6-07-47p.m.,1490350067561,1003.21045,83.921265,3
2017-03-24-6-07-48p.m.,1490350068641,1003.167,84.2859,3
2017-03-24-6-07-49p.m.,1490350069723,1003.147,84.455,3
2017-03-24-6-07-50p.m.,1490350070801,1003.157,84.370445,3
2017-03-24-6-07-51p.m.,1490350071884,1003.21045,83.921265,3
2017-03-24-6-07-52p.m.,1490350072963,1003.2197,83.844635,3
2017-03-24-6-07-54p.m.,1490350074043,1003.2019,83.9926,3
2017-03-24-6-07-55p.m.,1490350075125,1003.2002,84.00845,3
2017-03-24-6-07-56p.m.,1490350076226,1003.2241,83.80764,3
2017-03-24-6-07-57p.m.,1490350077297,1003.1929,84.06923,3
2017-03-24-6-07-58p.m.,1490350078438,1003.19653,84.03752,3
2017-03-24-6-07-59p.m.,1490350079454,1003.1975,84.029594,3
2017-03-24-6-08-00p.m.,1490350080524,1003.17993,84.17756,3
2017-03-24-6-08-01p.m.,1490350081605,1003.1809,84.16963,3
2017-03-24-6-08-02p.m.,1490350082685,1003.20874,83.93447,3
2017-03-24-6-08-03p.m.,1490350083765,1003.18335,84.1485,3
2017-03-24-6-08-04p.m.,1490350084842,1003.17163,84.24626,3
2017-03-24-6-08-05p.m.,1490350085935,1003.176,84.20927,3
2017-03-24-6-08-07p.m.,1490350087003,1003.2263,83.78915,3
2017-03-24-6-08-08p.m.,1490350088084,1003.19556,84.04545,3
2017-03-24-6-08-09p.m.,1490350089166,1003.2134,83.897484,3
2017-03-24-6-08-10p.m.,1490350090254,1003.1953,84.04809,3
2017-03-24-6-08-11p.m.,1490350091326,1003.18994,84.09301,3
2017-03-24-6-08-12p.m.,1490350092405,1003.2146,83.88691,3
2017-03-24-6-08-13p.m.,1490350093483,1003.19653,84.03752,3
2017-03-24-6-08-14p.m.,1490350094564,1003.19214,84.07452,3
